"","Country","1978","1982","1983","1985","1986","1988","1990","1994","1996","1997","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"34","Yemen",0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67948717948718,NA,0.99941396255344,0.144154721727743,NA,0.6,0.6,0.866798853182654,0.899302686084476,NA,NA,0.8,NA,0.9,1,NA,NA,NA,0.700266616371301
"35","Georgia",NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0.96,0.779123521699461,0.700703070172516,0.8,0.889111214046593,NA,NA,0.904181521456422,NA,0.645197510343615,NA,NA,0.866391681523925,1,0.914285714285714,0.971398940576281,NA,NA,1
"36","Turkey",0.6,0.595959224710059,0.6,0.8,NA,NA,NA,NA,NA,NA,0.819047619047619,NA,NA,0.52163676154904,0.832250834022964,NA,NA,NA,NA,NA,NA,NA,0.798332674714104,0.936708016532946,NA,NA,NA,0.81615423455982,0.203279947702013
"37","Armenia",NA,NA,0.533333333333333,0.8,NA,NA,NA,NA,NA,NA,0.76,0.700059523402583,0.800103717911426,0.8,0.885944535965615,NA,0.600225419472934,NA,NA,0.666917085706597,NA,0.5,NA,NA,0.88,0.750036685295711,NA,NA,1
"38","Azerbaijan",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0.95,0.999218658649658,0.800694051531649,0.8,0.88639610627051,NA,0.857398680034616,NA,NA,0.75084668267213,NA,NA,NA,NA,0.85,0.866547475674076,NA,NA,1
"39","Disputed Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Malaysia",0.6,NA,NA,0.8,NA,NA,NA,NA,NA,0.7,0.585209003215434,NA,0.646153059241269,0.7,NA,0.6,0.6,0.543120949410765,0.860161891113911,NA,NA,0.716666666666667,NA,0.649972920223696,0.753616224710102,0.8225935898428,0.844134487918422,NA,0.70494279994543
"41","British Indian Ocean Territory",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA,0.999939854540031,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA
"42","India",0.4,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0.521527777777778,NA,NA,0.762588195794596,NA,0.6,0.896098438205376,NA,NA,NA,NA,0.738461538461539,NA,0.687140876124302,0.67862176675511,NA,NA,NA,0.750597219826026
"43","Indonesia",0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333333333,0.551170568561873,NA,0.638982499191537,0.6,NA,0.6,0.6,0.655344003314434,NA,NA,NA,0.728571428571429,NA,0.699256732829303,NA,NA,NA,NA,0.680348907354878
