"","year","code","category","Species","Class","Region","count","code_mod","risk"
"39986","1998","LR/nt","Lower Risk/near threatened","Miconia bailloniana","MAGNOLIOPSIDA","global",1,"LC",0
"39987","1998","VU","Vulnerable","Miconia brevistylis","MAGNOLIOPSIDA","global",1,"VU",2
"39988","1998","VU","Vulnerable","Miconia calophylla","MAGNOLIOPSIDA","global",1,"VU",2
"39989","1998","VU","Vulnerable","Miconia demissifolia","MAGNOLIOPSIDA","global",1,"VU",2
"39990","1998","VU","Vulnerable","Miconia floccosa","MAGNOLIOPSIDA","global",1,"VU",2
"39991","1998","VU","Vulnerable","Miconia griffisii","MAGNOLIOPSIDA","global",1,"VU",2
"39992","1998","VU","Vulnerable","Miconia lachnoclada","MAGNOLIOPSIDA","global",1,"VU",2
"39993","1998","VU","Vulnerable","Miconia setulosa","MAGNOLIOPSIDA","global",1,"VU",2
"39994","1998","LR/lc","Lower Risk/least concern","Miconia tomentosa","MAGNOLIOPSIDA","global",1,"LC",0
"39995","1998","VU","Vulnerable","Mimosa nothacacia","MAGNOLIOPSIDA","global",1,"VU",2
"39996","1998","VU","Vulnerable","Myrcia albobrunnea","MAGNOLIOPSIDA","global",1,"VU",2
"39997","1998","VU","Vulnerable","Myrcia crassimarginata","MAGNOLIOPSIDA","global",1,"VU",2
"39998","1998","VU","Vulnerable","Myrcia pentagona","MAGNOLIOPSIDA","global",1,"VU",2
"39999","1998","VU","Vulnerable","Myrcianthes oreophila","MAGNOLIOPSIDA","global",1,"VU",2
"40000","1998","VU","Vulnerable","Myrsine bullata","MAGNOLIOPSIDA","global",1,"VU",2
"40001","1998","VU","Vulnerable","Myrsine diazii","MAGNOLIOPSIDA","global",1,"VU",2
"40002","1998","VU","Vulnerable","Myrsine pearce","MAGNOLIOPSIDA","global",1,"VU",2
"40003","1998","VU","Vulnerable","Myrsine reynelii","MAGNOLIOPSIDA","global",1,"VU",2
"40004","1998","VU","Vulnerable","Myrsine rivularis","MAGNOLIOPSIDA","global",1,"VU",2
"40005","1998","VU","Vulnerable","Ocotea otuzcensis","MAGNOLIOPSIDA","global",1,"VU",2
"40006","1998","VU","Vulnerable","Ocotea raimondii","MAGNOLIOPSIDA","global",1,"VU",2
"40007","1998","VU","Vulnerable","Oreopanax candamoanus","MAGNOLIOPSIDA","global",1,"VU",2
"40008","1998","VU","Vulnerable","Oreopanax cissoides","MAGNOLIOPSIDA","global",1,"VU",2
"40009","1998","VU","Vulnerable","Oreopanax ischnolobus","MAGNOLIOPSIDA","global",1,"VU",2
"40010","1998","VU","Vulnerable","Oreopanax jelskii","MAGNOLIOPSIDA","global",1,"VU",2
"40011","1998","DD","Data Deficient","Oreopanax klugii","MAGNOLIOPSIDA","global",1,"NA",0
"40012","1998","VU","Vulnerable","Oreopanax raimondii","MAGNOLIOPSIDA","global",1,"VU",2
"40013","1998","VU","Vulnerable","Oreopanax stenophyllus","MAGNOLIOPSIDA","global",1,"VU",2
"40014","1998","VU","Vulnerable","Palicourea consobrina","MAGNOLIOPSIDA","global",1,"VU",2
"40015","1998","VU","Vulnerable","Palicourea herrerae","MAGNOLIOPSIDA","global",1,"VU",2
"40016","1998","VU","Vulnerable","Palicourea latifolia","MAGNOLIOPSIDA","global",1,"VU",2
